"시설번호","지역코드","시설일련번호","시도명","시군구명","수용시설명","도로명주소코드","법정동코드","행정동코드","상세주소","시설면적","경도","위도","X좌표","Y좌표"
"8095","1174000000","28","서울특별시","강동구","명덕초등학교 운동장","1174010200104870015018556","1174010200","1174055000","서울특별시 강동구 고덕동 487-15","15369","127.145440","37.556915","212850.839070","550830.918582"
"8096","1174000000","8","서울특별시","강동구","묘곡초등학교 운동장","1174010200104980000018548","1174010200","1174055000","서울특별시 강동구 고덕동 498","15334","127.153314","37.558112","213546.391463","550964.936952"
"8097","1174000000","38","서울특별시","강동구","고덕초등학교 운동장","1174010200101580000018026","1174010200","1174056000","서울특별시 강동구 고덕동 158-0","2500","127.166600","37.560633","214719.733721","551246.707699"
"8098","1174000000","9","서울특별시","강동구","고덕중학교 운동장","1174010200102230000018042","1174010200","1174056000","서울특별시 강동구 고덕동 223","4000","127.161372","37.559889","214258.004556","551163.323365"
"8099","1174000000","19","서울특별시","강동구","서울컨벤션고등학교 운동장","1174010200102950001000002","1174010200","1174056000","서울특별시 강동구 고덕동 295-1","300","127.157622","37.559391","213926.792785","551107.504298"
"8100","1171000000","27","서울특별시","송파구","신가초등학교 운동장","1171010700100430001006404","1171010700","1171062000","서울특별시 송파구 가락동 43-1","5768","127.120055","37.499996","210615.916654","544510.484574"
"8101","1171000000","65","서울특별시","송파구","석촌중학교 운동장","1171010700100430000006594","1171010700","1171062000","서울특별시 송파구 가락동 43-0","7303","127.121285","37.500628","210724.594073","544580.716066"
"8102","1171000000","28","서울특별시","송파구","평화초등학교 운동장","1171010700101060000007097","1171010700","1171062000","서울특별시 송파구 가락동 106-0","8136","127.122171","37.491285","210804.256490","543543.888912"
"8103","1171000000","66","서울특별시","송파구","가원중학교 운동장","1171010700101060003007473","1171010700","1171062000","서울특별시 송파구 가락동 106-3","2224","127.122404","37.490732","210824.955476","543482.580095"
"8104","1171000000","29","서울특별시","송파구","가동초등학교 운동장","1171010700101630000005990","1171010700","1171063200","서울특별시 송파구 가락동 163-0","5250","127.130352","37.497099","211526.904816","544190.177962"
"8105","1171000000","30","서울특별시","송파구","가주초등학교 운동장","1171010700101400006005057","1171010700","1171063200","서울특별시 송파구 가락동 140-6","3103","127.128684","37.496693","211379.427080","544144.919867"
"8106","1171000000","67","서울특별시","송파구","송파중학교 운동장","1171010700101390000005304","1171010700","1171063200","서울특별시 송파구 가락동 139-0","6246","127.129768","37.495558","211475.470084","544019.006628"
"8107","1171000000","68","서울특별시","송파구","문정중학교 운동장","1171010800100120001004411","1171010800","1171064100","서울특별시 송파구 문정동 12-1","4848","127.129556","37.488096","211457.900732","543190.806608"
"8108","1171000000","31","서울특별시","송파구","문정초등학교 운동장","1171010800100120000004349","1171010800","1171064100","서울특별시 송파구 문정동 12-0","6230","127.128620","37.488880","211374.960758","543277.736848"
"8109","1171000000","32","서울특별시","송파구","가원초등학교 운동장","1171010800101500010003819","1171010800","1171064200","서울특별시 송파구 문정동 150-10","3763","127.111450","37.489058","209856.471814","543295.489244"
"8110","1171000000","89","서울특별시","송파구","문정고등학교 운동장","1171010800100900000000001","1171010800","1171064600","서울특별시 송파구 문정동 90-0","3581","127.127479","37.485597","211274.534873","542913.188061"
"8111","1171000000","33","서울특별시","송파구","문덕초등학교 운동장","1171010800100900003003082","1171010800","1171064600","서울특별시 송파구 문정동 90-3","1714","127.127494","37.484979","211275.939348","542844.606126"
"8112","1171000000","69","서울특별시","송파구","문현중학교 운동장","1171010900102040007000001","1171010900","1171064600","서울특별시 송파구 장지동 838-3","2478","127.127738","37.480256","211298.292964","542320.490432"
"8113","1171000000","90","서울특별시","송파구","문현고등학교 운동장","1171010900102040001000001","1171010900","1171064600","서울특별시 송파구 장지동 838-0","2157","127.128976","37.480825","211407.681673","542383.802337"
"8114","1174000000","41","서울특별시","강동구","한산초등학교운동장","1174010600101490000001216","1174010600","1174070000","서울특별시 강동구 둔촌동 149-0","5466","127.141413","37.528037","212499.804197","547625.262608"
"8115","1174000000","18","서울특별시","강동구","선린초등학교 운동장","1174010600100910017001220","1174010600","1174070000","서울특별시 강동구 둔촌동 91-17","4732","127.145783","37.529205","212885.910437","547755.518160"
"8116","1174000000","56","서울특별시","강동구","둔촌고등학교 운동장","1174010600100790003001184","1174010600","1174070000","서울특별시 강동구 둔촌동 79-3","2883","127.143912","37.530952","212720.270388","547949.090746"
"8117","1174000000","34","서울특별시","강동구","둔촌중학교 운동장","1174010600100190001000673","1174010600","1174070000","서울특별시 강동구 둔촌동 19-1","4081","127.146119","37.530233","212915.402916","547869.682895"
"8122","1171000000","40","서울특별시","송파구","송전초등학교 운동장","1171010100100440002000005","1171010100","1171068000","서울특별시 송파구 잠실동 44-2","2260","127.094555","37.508370","208360.157976","545437.316931"
"8123","1171000000","93","서울특별시","송파구","영동일고등학교 운동장","1171010100100350001000001","1171010100","1171068000","서울특별시 송파구 잠실동 35-1","1970","127.089381","37.509645","207902.510073","545578.387082"
"8124","1171000000","41","서울특별시","송파구","버들초등학교 운동장","1171010100100350006000001","1171010100","1171068000","서울특별시 송파구 잠실동 35-6","960","127.089005","37.510045","207869.289304","545622.705103"
"8125","1171000000","42","서울특별시","송파구","신천초등학교 운동장","1171010100100270005000330","1171010100","1171068000","서울특별시 송파구 잠실동 27-5","5750","127.095159","37.513582","208412.927216","546015.790519"
"8126","1171000000","43","서울특별시","송파구","잠실초등학교 운동장","1171010200100200002000001","1171010200","1171069000","서울특별시 송파구 신천동 20-2","1785","127.111015","37.519925","209813.912310","546721.363469"
